Month,PnL 2019,PnL 2020,PnL 2021,PnL 2022,PnL 2023,PnL 2024,
January,,-53677.5,-81712.5,21180,-1597.5,31380,
February,-16672.5,48975,70537.5,133372.5,74070,105802.5,
March,-13905,21232.5,241275,250680,37725,49680,
April,20512.5,102547.5,155175,36322.5,95032.5,73582.5,
May,10342.5,-9525,56872.5,24630,65257.5,108405,
June,-53460,44160,74332.5,135615,57840,-5685,
July,-65985,46500,62542.5,86505,82350,29985,
August,-18390,27712.5,33330,64635,65520,174397.5,
September,28087.5,55125,52665,65632.5,67012.5,97597.5,
October,-72727.5,41242.5,199095,137190,16785,24645,
November,47265,115170,-6862.5,95520,63255,85395,
December,-5017.5,114652.5,91965,-53497.5,82237.5,159840,
Total,-139950,554115,949215,997785,705487.5,935025,4001677.5
